764, 208, 16728, -587, -73, -209, 2488, -2708, 32412, 534, -2373, 552, -4800, 3024, 2484, -1342, 42, 1838, 3604, 952, 16796, -1174, -768, 1087, 2488, 360, 15252, -1347, -378, 789, 872, 232, 16324, -1786, -397, 815, -92, 752, 16408, -1932, -944, 889, 236, 1100, 16804, -2168, -1377, 966, 240, 1672, 16756, -2351, -1682, 985, 296, 1740, 17112, -2334, -1995, 970
480, 1744, 17080, -2308, -2157, 900, 2320, -2120, 22328, -830, -1789, -1593, -268, -1036, 16132, -2299, 591, -963, 2168, 692, 14980, -2593, -315, -767, 2460, -32, 15608, -2800, -25, -1017, 1720, -600, 16524, -3070, -94, -1072, 780, -516, 16928, -3113, -730, -1116, 896, -232, 16792, -3298, -1112, -1158, 1028, 48, 16472, -3498, -1285, -1254, 1248, -196, 16360, -3618, -1507, -1311
1060, -504, 16432, -3687, -1731, -1341, 4984, -1644, 21320, 2650, -2503, -761, 1388, 844, 14624, 1638, -238, -237, 4808, 1480, 14344, 1112, -839, 214, 4592, 1040, 14872, 783, -565, 162, 3700, 212, 16112, 425, -960, 173, 3868, 296, 16640, 149, -1231, 123, 3492, 580, 16088, -125, -1271, 169, 3808, 656, 15644, -414, -1297, 133, 3928, 204, 15820, -559, -1261, 138
4128, -100, 16004, -643, -1165, 145, -432, -788, 22036, 968, -388, -473, -2856, -1044, 16960, -456, 1820, 12, -720, 1932, 14680, -704, 1021, 405, -448, 1584, 15396, -983, 1325, 392, -992, 996, 16148, -1232, 1205, 328, -1440, 388, 16912, -1183, 714, 281, -1332, 824, 16840, -1166, 495, 303, -1080, 1164, 16208, -1217, 393, 288, -640, 1068, 15592, -1322, 413, 289
-384, 812, 15804, -1368, 480, 208, 3952, -4492, 26896, 1698, -1545, -700, -2856, -1052, 1432, 316, 488, -51, 1504, 28, 15144, 184, -249, 150, 2268, -1272, 14236, -99, 118, 116, 2068, -1908, 16208, -337, 63, 97, 1512, -1772, 16512, -316, -418, -23, 1208, -1580, 16432, -459, -737, -44, 1476, -1276, 16412, -591, -936, -47, 1944, -1448, 16132, -657, -1089, -26
1980, -1640, 16200, -699, -1182, -35, 12384, -4176, 32280, 848, -407, -1114, 912, -972, 13264, -296, 1247, -610, 4152, 1256, 14252, -557, 751, -27, 4704, 192, 15012, -888, 842, -102, 4848, -904, 16428, -1027, 470, -225, 4400, -540, 16456, -1025, 108, -346, 4152, -440, 16284, -1012, -140, -259, 4036, 8, 15544, -1084, -263, -148, 4564, -288, 15716, -1048, -409, -130
4648, -468, 15708, -979, -497, -68, 1892, -3724, 20672, 675, -1211, -1081, -1484, -3976, 16352, -689, 895, -628, 1332, -1456, 15096, -830, 59, -381, 1676, -1892, 14928, -1132, 244, -418, 1480, -2444, 15940, -1303, 265, -488, 932, -3088, 16924, -1153, -119, -652, 584, -2736, 16892, -1159, -303, -612, 432, -2444, 16648, -1178, -436, -541, 884, -2260, 16616, -1132, -559, -489
1028, -2428, 16492, -1118, -621, -525, 3608, 2648, 24460, 433, -305, -1065, -3524, 3832, 4052, -791, 1404, -473, 500, 6232, 13748, -1121, 375, -117, 1560, 4580, 14516, -1441, 667, -188, 1496, 3884, 16036, -1646, 616, -336, 900, 4460, 16004, -1686, 159, -472, 684, 4752, 16048, -1779, -121, -353, 1020, 5016, 15740, -1865, -253, -311, 1456, 4792, 15816, -1863, -341, -283
1492, 4624, 16024, -1859, -299, -355, 4520, 3524, 24120, -422, 658, -594, 1704, 7112, 9204, -1347, 1630, 305, 5732, 5620, 15124, -1419, 1111, -237, 5656, 4216, 14840, -1580, 1506, -425, 5152, 4008, 15164, -1713, 1363, -606, 4380, 4112, 15512, -1676, 1145, -632, 4128, 4044, 15376, -1693, 937, -661, 4092, 4360, 15412, -1706, 760, -646, 4096, 4424, 15276, -1692, 668, -612
4196, 4524, 15184, -1666, 569, -609, 2260, 4160, 28224, 1498, -729, -564, 1252, 5512, 8216, 357, 1413, -422, 556, 6988, 14504, 120, 696, -113, 2196, 6264, 13968, -150, 1019, -232, 1740, 5388, 15704, -369, 1117, -265, 1316, 5208, 15868, -370, 793, -314, 1100, 5456, 15844, -426, 664, -265, 1092, 5700, 15532, -578, 567, -226, 1216, 5664, 15344, -642, 507, -204
1152, 5588, 15288, -725, 489, -118, 4640, -276, 32528, 1227, -992, -542, -32, 1232, 12400, 128, 1184, -82, 1656, 3336, 15776, 103, 533, 87, 2484, 2508, 15024, -90, 898, 86, 2100, 1652, 16680, -242, 1086, 65, 1948, 1780, 17032, -147, 821, 86, 1548, 1844, 17176, -122, 685, 113, 1676, 2180, 16792, -134, 577, 137, 1780, 2212, 16460, -153, 487, 188
1924, 2416, 16204, -200, 452, 253, 7772, 1852, 27024, 1148, -1240, -825, 2916, 3696, 7840, 69, 665, -346, 4824, 5176, 14072, -202, 120, -28, 6108, 3388, 15324, -677, 290, -241, 5696, 3596, 15696, -635, 14, -261, 5340, 3780, 15896, -725, -133, -225, 5560, 4156, 15504, -840, -225, -218, 5840, 4192, 15372, -905, -252, -272, 6044, 4048, 15364, -941, -209, -293
6080, 3840, 15636, -899, -209, -303, 7692, -3644, 30380, 504, -1379, 7, 3100, -1104, 11568, -680, 247, 268, 4768, 184, 14832, -734, -44, 368, 5456, -224, 14092, -1057, 182, 408, 5164, -924, 15732, -1300, 102, 248, 5016, -684, 16244, -1368, -138, 120, 4452, -580, 16176, -1497, -358, 46, 4608, -256, 15948, -1637, -545, 95, 4724, -624, 16032, -1711, -662, 37
4932, -696, 15972, -1766, -814, -1, 5140, -912, 32767, 431, -1449, -416, -632, 284, 15280, -917, 673, -35, 244, 2416, 15164, -1023, -178, 161, 1180, 1516, 14700, -1382, 59, 247, 904, 396, 16248, -1610, 126, 158, 904, 612, 16512, -1575, -159, 65, 728, 592, 16584, -1634, -296, -8, 568, 1116, 16368, -1678, -367, 27, 816, 1468, 16108, -1707, -443, 107
1016, 1548, 15940, -1723, -481, 131, -1160, -2672, 22380, 2451, -2160, -524, -2840, -2924, 16772, 1138, -103, -383, -1504, -844, 15096, 1084, -892, 62, -504, -632, 15016, 785, -668, 212, -668, -1256, 16036, 604, -658, 149, -920, -1756, 16776, 669, -965, 52, -1000, -1584, 17212, 632, -1107, 87, -1132, -1392, 16956, 567, -1235, 143, -964, -1128, 16476, 577, -1331, 201
