-392, -1680, 16672, -172, -205, -128, 12376, 1904, 16736, -4063, 2812, 195, 7972, 2880, 8280, -6668, 4973, 133, 12256, 4264, 10988, -7179, 3656, 45, 13416, 4320, 10344, -7747, 3620, -597, 12292, 3984, 11348, -8639, 3148, -955, 12524, 4024, 12008, -9205, 2332, -1341, 13724, 4612, 12764, -9655, 1809, -1749, 14888, 5116, 13516, -10043, 1431, -2296, 15592, 5112, 14508, -10141, 1053, -2836
16200, 5268, 15104, -10086, 763, -3377, 5940, 540, 24712, 781, 2165, -2440, 4764, 2052, 16432, -1011, 4241, -2431, 5084, 4000, 14996, -1483, 3947, -2335, 7500, 3520, 14296, -2072, 4349, -2689, 7148, 3204, 15296, -2790, 4513, -2963, 7528, 2836, 15628, -3237, 4425, -3300, 8132, 2844, 15604, -3732, 4458, -3762, 8672, 3060, 15532, -4246, 4548, -4234, 9236, 2992, 15724, -4664, 4568, -4642
9652, 2916, 15780, -5007, 4616, -5027, 5140, -728, 21284, -944, 3583, 2832, 4048, -252, 16796, -2287, 5384, 3394, 6692, 1628, 16072, -2246, 4774, 3494, 7024, 1340, 15692, -2403, 4833, 3238, 6544, 1160, 16212, -2726, 4828, 3102, 6208, 1076, 16680, -2887, 4369, 2931, 7064, 1304, 16740, -3075, 4033, 2614, 7684, 1856, 16776, -3274, 3845, 2223, 8232, 2344, 16636, -3442, 3595, 1906
8844, 2604, 16792, -3573, 3342, 1538, 10724, -132, 25928, 1127, 3313, 6683, 10972, 4096, 356, -1085, 5905, 6548, 9968, 5108, 13016, -1939, 5246, 6566, 12924, 5300, 12408, -2974, 5432, 5938, 13284, 5524, 14096, -4045, 5439, 5190, 13696, 5908, 14268, -4922, 5163, 4383, 14144, 7316, 14136, -5970, 4909, 3414, 15556, 7712, 14440, -6817, 4777, 2439, 16768, 7252, 15484, -7462, 4808, 1275
17228, 7020, 15792, -7901, 4895, 156, 8660, -4004, 32352, 1437, 433, 827, 2280, 2604, 1800, -310, 3015, 1379, 4384, 2772, 14620, -494, 1645, 2181, 7624, 2244, 14040, -694, 1720, 1949, 7272, 1908, 15236, -1161, 1647, 1763, 7540, 2112, 15284, -1401, 1056, 1476, 8572, 2772, 15064, -1762, 690, 1065, 9536, 3360, 14984, -2169, 606, 574, 9924, 3436, 14832, -2506, 562, 79
10588, 3600, 14800, -2812, 554, -526, 9664, -784, 27580, 3017, -1341, 3512, 11448, 3208, 4192, 1423, 1322, 3244, 10860, 4932, 16464, 1104, 918, 3382, 12036, 5124, 15516, 542, 1263, 3438, 12072, 5004, 17008, -66, 1283, 3302, 13084, 4496, 18128, -360, 994, 2992, 14500, 4332, 18388, -594, 820, 2451, 15792, 4484, 18248, -778, 769, 1901, 17232, 4180, 17956, -882, 823, 1361
18076, 4232, 17868, -941, 966, 681, 9384, -188, 21300, 1403, 253, 4924, 7240, 1652, 15272, -220, 2295, 5489, 11332, 3776, 14308, -539, 1754, 5809, 12604, 3412, 14756, -881, 2131, 5500, 12632, 3152, 15568, -1399, 2376, 5318, 13324, 3128, 16292, -1767, 2317, 5027, 14064, 3640, 16488, -2176, 2397, 4546, 14856, 4220, 16404, -2591, 2595, 4110, 15732, 4424, 16720, -2990, 2758, 3546
16596, 4528, 16812, -3306, 2969, 2908, 9940, -448, 32767, 808, 730, 2283, 6948, 2740, 12520, -1154, 2860, 2552, 9200, 4552, 15720, -1306, 2203, 2383, 9992, 3764, 15264, -1673, 2375, 2027, 9320, 3252, 16480, -2143, 2196, 1814, 10044, 3232, 16832, -2337, 1747, 1495, 10360, 3184, 17052, -2527, 1381, 1162, 11076, 3436, 16880, -2694, 1028, 837, 11736, 3496, 17032, -2783, 726, 541
12448, 3444, 17380, -2765, 460, 210, 11764, 72, 27860, 1051, 1649, -2900, 11284, 2004, 5244, -399, 3860, -3300, 12724, 3284, 16276, -635, 3575, -3691, 13828, 2952, 15148, -1088, 3692, -4265, 13788, 2672, 16268, -1633, 3735, -4728, 14516, 2416, 16860, -1940, 3454, -5338, 15300, 2660, 17236, -2280, 3160, -6012, 16188, 3156, 17364, -2586, 2985, -6400, 17260, 3280, 17496, -2828, 2873, -7209
17732, 3368, 17604, -3002, 2804, -7790, 22832, -1432, 32767, 1165, -662, -8303, 13900, 2924, 13768, -568, 1443, -8594, 18360, 5968, 15756, -948, 709, -8633, 20872, 5256, 16072, -1273, 895, -9618, 20960, 4604, 17288, -1610, 955, -10416, 21396, 4512, 17504, -1749, 666, -11255, 22440, 4832, 17524, -1892, 446, -12204, 23640, 5112, 17460, -1987, 453, -13117, 24948, 5084, 17620, -2016, 473, -14072
