-4056, 3392, 21116, -13049, 6663, -2547, -21824, -6428, 23912, 75, 5978, 14119, -20264, -9160, 22300, -681, 8254, 14317, -21060, -7332, 19984, -537, 8684, 14862, -21656, -7152, 18960, -665, 9664, 15406, -23316, -7412, 20008, -1090, 10333, 15922, -23692, -7272, 20332, -1371, 10773, 16350, -25276, -6856, 20576, -1738, 11285, 16847, -27188, -6188, 20456, -2139, 11734, 17511, -28040, -5920, 20624, -2430, 12167, 18094
-28760, -5948, 20468, -2623, 12558, 18465, -23064, -11336, 32520, 189, 6436, 9583, -28688, -7296, 5196, -1698, 8479, 10975, -27592, -6876, 15536, -1773, 8240, 12387, -26288, -8072, 14380, -1891, 8417, 12862, -28116, -8788, 14736, -2360, 8306, 13466, -29868, -9256, 14240, -2738, 7982, 14203, -31488, -9628, 13692, -3198, 7521, 14740, -32620, -9808, 13092, -3688, 7021, 15189, -32512, -10576, 12696, -4117, 6532, 15685
-32512, -10860, 12552, -4439, 6120, 16231, -18504, -9168, 32767, 1587, 517, 3410, -28620, -6764, 11488, -520, 2855, 4701, -27528, -5328, 16680, -937, 2789, 5890, -27332, -7340, 16204, -1323, 3322, 6258, -29472, -8612, 16980, -2031, 3717, 6785, -31324, -9296, 16908, -2471, 4065, 7348, -32512, -9512, 16592, -2994, 4717, 7992, -32512, -9556, 16324, -3535, 5479, 8702, -32512, -10248, 16172, -4114, 6278, 9470
-32512, -11172, 15808, -4694, 7080, 10397, -17368, -12016, 32767, 261, 4812, 6993, -27392, -8092, 8324, -1483, 6274, 8610, -26580, -7524, 14324, -1270, 4700, 10079, -26252, -9524, 13720, -929, 3672, 10883, -28704, -11236, 15160, -774, 2406, 11678, -30928, -12032, 15592, -156, 959, 12468, -32512, -12120, 15668, 533, -255, 13323, -32512, -12164, 15528, 1214, -1331, 14144, -32512, -12604, 15768, 1919, -2280, 14996
-32512, -13056, 15856, 2644, -3094, 16075, -21340, -14024, 32767, 3788, -12877, 8000, -28180, -10704, 14128, 2591, -10311, 9682, -28660, -10252, 18412, 2768, -10548, 11186, -29360, -11992, 17348, 2808, -10134, 12158, -31984, -13736, 18392, 2532, -10063, 13271, -32512, -15228, 18280, 2473, -10295, 14486, -32512, -16076, 17920, 2419, -10388, 15658, -32512, -16560, 17680, 2297, -10422, 16930, -32512, -17832, 17244, 2229, -10347, 18374
-32512, -19112, 16472, 2179, -10161, 19902, -27016, -13924, 32767, -614, 7955, 6174, -32512, -11172, 13836, -1974, 10001, 7797, -32512, -11716, 23992, -1636, 9467, 9126, -32512, -13128, 23516, -1361, 9370, 10059, -32512, -14248, 24440, -1346, 8798, 11222, -32512, -15128, 24972, -1109, 8010, 12127, -32512, -15576, 24912, -769, 7211, 13281, -32512, -16312, 24652, -456, 6510, 14581, -32512, -16760, 24720, -73, 5869, 15585
-32512, -18200, 24800, 357, 5221, 16762, -16480, -11488, 32767, 6157, 5435, 3425, -22784, -8292, 18540, 4881, 7883, 4490, -21684, -6692, 21804, 4860, 7785, 5389, -21832, -7660, 21568, 4759, 8295, 5858, -23336, -8140, 23012, 4357, 8760, 6514, -24060, -8448, 23504, 4236, 8970, 7107, -25144, -8376, 24180, 4177, 9328, 7798, -25700, -8280, 24428, 4059, 9921, 8485, -26044, -8416, 24528, 3984, 10604, 9227
-26644, -8872, 24340, 3881, 11383, 9985, -18976, -11688, 32767, -3381, 1236, -1871, -24804, -11384, 14012, -4005, 2952, -716, -25852, -10908, 16488, -3451, 2434, 221, -27968, -12396, 15216, -2879, 2253, 1366, -30680, -13472, 16080, -2596, 1869, 2665, -31816, -13964, 16168, -2098, 1048, 3871, -32512, -14204, 16060, -1517, 148, 5317, -32512, -14752, 15340, -1017, -550, 6710, -32512, -15104, 14748, -616, -1296, 8096
-32512, -16156, 14172, -188, -1908, 9346, -22688, -11188, 32767, 1654, -90, 11134, -28428, -7964, 9056, -243, 2801, 12656, -27612, -8444, 17544, -615, 2620, 13464, -27060, -10392, 16764, -1121, 3280, 14039, -28732, -11416, 17544, -1787, 3758, 14439, -30112, -12340, 17652, -2188, 3938, 15004, -31700, -12636, 17924, -2610, 4222, 15835, -32556, -12716, 17476, -2980, 4617, 16562, -32512, -13076, 17480, -3376, 4994, 17534
-32512, -13096, 17552, -3734, 5261, 18584, -23824, -14768, 32767, 1196, 4287, 5952, -28960, -11792, 14420, -400, 6823, 7993, -29508, -11240, 18676, -833, 6708, 9535, -29720, -12912, 18108, -1366, 7231, 10902, -31620, -14144, 19408, -2125, 7542, 12135, -32512, -14992, 19672, -2538, 7625, 13382, -32512, -15232, 19916, -2943, 7888, 14857, -32512, -15928, 19932, -3343, 8262, 16014, -32512, -16692, 19908, -3638, 8574, 17498
