760, 280, 16668, -581, -91, -206, 5588, 4708, 14892, -12382, 13938, 979, 740, 6208, -5248, -14506, 15368, 1027, 1880, 7764, -4480, -15484, 15127, 1073, 2472, 6728, -6024, -16417, 14633, 710, 1644, 5740, -6268, -17390, 13964, 425, 1692, 5336, -7408, -18117, 13192, 73, 1580, 4988, -8064, -18900, 12222, -376, 1392, 4888, -8864, -19546, 11406, -732, 1164, 4584, -9864, -20141, 10527, -1055
956, 4148, -10928, -20704, 9619, -1423, 3512, 2104, 18564, -1690, 4885, -621, -1564, 4668, -2508, -3644, 6987, 19, -368, 5984, 1460, -4366, 6996, 666, 1264, 5372, 36, -5306, 7260, 901, 1252, 4608, 152, -6298, 7400, 1064, 1884, 4328, -552, -7191, 7341, 1130, 2208, 4268, -1116, -8114, 7351, 1124, 2888, 4476, -1908, -9004, 7428, 1082, 3204, 4644, -2132, -9828, 7523, 854
3572, 4912, -2820, -10579, 7554, 621, 2024, 1036, -228, -7296, 6233, -45, 1272, 2020, -8696, -10014, 8602, 279, 1388, 3588, -9996, -11429, 8829, 570, 2904, 2852, -11880, -12977, 9275, 565, 2296, 2828, -12044, -14593, 9641, 530, 2136, 2952, -12268, -15874, 9681, 313, 2076, 3500, -12752, -17082, 9688, 77, 1640, 4248, -13796, -18152, 9687, -109, 1392, 4520, -14536, -19113, 9538, -213
1508, 4756, -15532, -19955, 9232, -417, 6984, 1452, 2836, -10213, 8593, 1270, 2492, 3644, -18424, -13141, 10654, 1357, 3672, 5180, -19012, -16630, 11085, 1114, 3036, 4924, -19124, -18400, 11205, 871, 3024, 5328, -20132, -19832, 11153, 412, 2664, 5620, -20868, -21181, 11025, -16, 2500, 6008, -21972, -22376, 10944, -381, 2176, 6152, -22964, -23421, 10778, -737, 1656, 5964, -24116, -24336, 10425, -1141
1468, 5668, -24692, -25150, 10052, -1396, 3348, 1992, -72, -5509, 1475, 21, 2456, 2364, -6492, -7742, 3818, 212, 3764, 4032, -8312, -8939, 4008, 316, 4324, 3772, -9748, -10119, 4538, -16, 3984, 3264, -9560, -11463, 5001, -218, 3888, 2908, -9984, -12602, 5306, -516, 3548, 3180, -11088, -13733, 5659, -864, 2952, 3388, -12284, -14890, 6116, -1042, 2484, 3512, -13448, -15823, 6450, -1155
1932, 3432, -14844, -16750, 6749, -1333, 3708, 548, 6288, -7597, 3645, -1454, -104, 3252, -17024, -10048, 6099, -918, 2232, 3224, -5104, -11198, 6213, -828, 3556, 2268, -7672, -12366, 6731, -1038, 3048, 1732, -7576, -13676, 7200, -1100, 2760, 1648, -8196, -14727, 7436, -1330, 2652, 2024, -9548, -15829, 7781, -1509, 2488, 2284, -11352, -16920, 8163, -1610, 2236, 2300, -13008, -18061, 8495, -1673
2172, 2392, -13996, -19152, 8765, -1751, 6800, 756, 18516, -5634, 7256, 921, 1304, 2836, -2012, -7967, 9696, 1110, 2856, 4668, -1460, -9111, 9864, 1324, 3668, 4108, -3604, -10478, 10268, 1160, 3116, 3368, -3128, -11936, 10522, 1037, 3244, 3272, -3964, -13116, 10479, 819, 3256, 3480, -4448, -14256, 10413, 608, 3272, 3400, -5804, -15370, 10389, 428, 3256, 3520, -7024, -16397, 10314, 203
3100, 3336, -8304, -17302, 10068, -71, 5936, -852, 9420, -11903, 8672, -1276, 2080, 1960, -12400, -14526, 11088, -690, 2720, 2280, -7556, -15852, 11080, -496, 3448, 1472, -9280, -17209, 11417, -504, 2512, 760, -8840, -18705, 11554, -453, 2200, 600, -9476, -19890, 11400, -414, 1756, 728, -10272, -21033, 11307, -447, 1732, 904, -11508, -22114, 11266, -519, 1596, 780, -12004, -23091, 11186, -472
1168, 792, -12532, -23918, 11021, -427, 6848, -1824, 20700, 3590, 1311, -4218, -1860, 20, 1972, 2209, 3401, -3472, -324, 2576, 1188, 1786, 3029, -2677, 528, 1964, -44, 1181, 3096, -2459, 252, 1000, 584, 534, 3125, -2153, 228, 852, 284, 134, 2989, -1979, 376, 1336, -652, -356, 2891, -1782, 504, 1584, -1984, -752, 2892, -1625, 724, 2060, -3260, -1273, 2937, -1358
612, 2200, -4580, -1809, 2892, -1130, -256, -2708, -8740, -12035, 6927, -2615, -3348, -2324, -17568, -14856, 9561, -1399, -1664, -484, -21156, -16368, 10001, -278, -1632, -1092, -24196, -18176, 10571, 383, -2112, -1616, -24724, -20003, 10969, 1035, -2652, -1728, -26704, -21675, 11099, 1504, -3332, -1000, -29076, -23318, 11089, 1952, -4128, -328, -31656, -24922, 10808, 2411, -4932, 264, -32512, -26424, 10175, 2991
-5400, 504, -32512, -27804, 9259, 3450, 1420, 644, -5380, -13065, 7428, -952, 40, 1280, -12756, -15370, 9259, -334, 536, 3092, -14496, -16441, 8521, -109, 632, 2784, -15104, -17613, 8075, -97, -184, 2564, -15172, -18925, 7658, -32, -612, 2316, -14928, -19940, 6887, -195, -476, 2592, -15352, -20825, 6177, -291, -400, 2784, -16080, -21650, 5665, -430, -380, 2904, -16632, -22435, 5142, -632
-724, 2952, -16936, -23076, 4553, -704, 3472, -788, 220, -15026, 3660, -1412, -2992, 1944, -21296, -17445, 5437, -872, -1920, 3392, -17836, -18659, 4949, -429, -1128, 2784, -19560, -20157, 4731, -185, -1460, 2044, -19024, -21682, 4518, -90, -1232, 2044, -19540, -22946, 4098, -62, -1080, 2392, -20356, -24185, 3719, -6, -972, 2396, -20880, -25282, 3375, 181, -844, 2520, -21936, -26450, 2880, 266
-756, 2276, -22656, -27479, 2232, 278, -216, 1524, -11860, -12271, 6530, -2016, -1492, 1452, -18800, -14487, 8551, -1525, -1312, 3920, -20448, -15924, 8257, -902, -816, 3572, -23008, -17399, 8099, -657, -1404, 2636, -23428, -19014, 7865, -453, -1576, 2440, -24200, -20396, 7403, -330, -1596, 2788, -26032, -21984, 6830, -334, -1864, 3272, -28408, -23422, 6178, -156, -1848, 3420, -30152, -24939, 5388, 65
