-13248, 1136, 14012, -5624, 7589, -7656, -15052, 700, 14384, -5488, 7678, -7657, -25388, -3480, 14696, -4252, 7915, -6052, -32512, -9600, 13900, -4053, 9001, -731, -32512, -15856, 13872, -4188, 7559, 9391, -32512, -21232, 14548, -3254, 4883, 21950, -32512, -25832, 15164, -2046, 3463, 32767, -32512, -27320, 15608, -2138, 4836, 32767, -21488, -27580, 17212, -2235, 7433, 32767, -5584, -24388, 19680, -1015, 11215, 32767, 10128, -18704, 18316, -161, 15708, 32767, 17672, -11552, 15748, -216, 13892, 32767, 23868, -6136, 13636, 389, 8475, 32767, 26100, -2496, 12632, 765, 3736, 32767, 24820, -2588, 13744, 817, 571, 32767, 25024, -2104, 13284, 1041, 672, 32767, 24352, -352, 12036, -385, 3428, 28089
31368, 1128, 14692, 2876, -3690, -24229, 31672, 1036, 14624, 2814, -3782, -25525, 32767, -740, 13668, 2133, -4124, -32512, 32244, -3388, 12588, 387, -3786, -32512, 27932, -6472, 12796, -1462, -3174, -32512, 21504, -10552, 13088, -2423, -2716, -32512, 12052, -14708, 14680, -1869, -2262, -32512, 1800, -16096, 15004, 327, -1453, -32512, -7756, -15780, 13780, 2144, -1365, -32512, -14504, -15056, 13188, 2274, -2897, -32512, -20312, -13988, 14088, 1553, -4131, -32512, -27044, -13064, 15584, 614, -4786, -32512, -32512, -13740, 16764, 1375, -5289, -29492, -32512, -13992, 16292, 2935, -6122, -21747, -32512, -12544, 14880, 4268, -7372, -12796, -32348, -9980, 14032, 4516, -8941, -4678, -25496, -6844, 13664, 4721, -9937, 1057
-13688, 1388, 14316, 2904, -1803, -1972, -15100, 988, 14384, 2957, -1557, -1925, -22376, -1564, 14856, 2745, 833, -1224, -31044, -5872, 14852, 1434, 4373, 1840, -32512, -11900, 15092, -105, 6313, 8860, -32512, -19796, 14920, -519, 3609, 20961, -32512, -26340, 15944, -110, -1420, 32767, -26764, -28324, 18848, 1545, -4365, 32767, -10088, -25940, 21700, 4504, -3753, 32767, 2752, -22912, 21204, 7026, 73, 32767, 13004, -20364, 19796, 7506, 4752, 32767, 22240, -15200, 18124, 7937, 7529, 32767, 32476, -8052, 13196, 8652, 9385, 32767, 32767, -120, 7932, 7036, 9400, 32767, 32767, 2852, 5504, 2977, 5781, 32767, 32767, 884, 7388, 646, 2719, 22711, 32612, 704, 8148, -314, 3476, 15588
31548, -304, 18552, 5478, 25967, -24544, 31936, -296, 18076, 5457, 26868, -25520, 32767, -832, 14740, 5604, 30820, -31970, 31696, -2600, 9952, 5475, 30996, -32512, 27124, -5408, 6400, 4665, 28447, -32512, 19700, -9612, 4736, 5329, 23857, -32512, 11188, -13928, 3376, 7887, 16885, -32512, 3336, -15344, 436, 10403, 8609, -32512, -2172, -15372, -1292, 10771, 889, -32512, -6364, -13420, -692, 8554, -2958, -32512, -12104, -11444, 244, 4760, -1689, -32512, -19796, -11932, 2732, 330, -854, -32512, -30924, -15000, 7288, -1677, -3888, -32512, -32512, -16564, 11856, -301, -8834, -26268, -32512, -13776, 15396, 2311, -12356, -17671, -30604, -10052, 17336, 3829, -13380, -12449, -27344, -8416, 17756, 4261, -11990, -8981
-17196, -4788, 13552, 6102, -26382, -3801, -18072, -5056, 13704, 6359, -26908, -3236, -22688, -7624, 13500, 8228, -29612, 222, -27248, -10284, 14308, 9991, -32512, 5568, -29540, -13316, 17476, 11648, -32512, 12990, -27612, -15580, 21712, 13057, -29553, 21332, -24948, -18304, 23760, 13603, -18901, 30338, -21148, -20728, 23444, 13473, -7884, 32767, -14252, -22428, 21904, 13629, 1227, 32767, -4764, -22116, 18300, 13430, 8162, 32767, 5788, -20596, 14632, 12378, 11737, 32767, 15308, -17568, 10684, 11115, 11443, 32767, 24504, -12420, 8564, 10749, 7592, 32767, 32767, -7600, 7212, 11663, 4084, 32767, 32767, -3856, 5160, 13048, 2893, 32767, 32767, -1404, 2440, 12793, 3918, 31270, 32767, 1756, 148, 10358, 7017, 23210
23792, 2968, 16084, 1722, 14526, -22430, 24164, 3004, 16072, 1625, 14928, -23265, 25896, 2736, 15404, 1244, 17621, -29201, 24992, 1088, 14320, 833, 19916, -32512, 23076, -1704, 12776, 665, 21661, -32512, 18448, -4976, 11192, 1240, 20854, -32512, 13008, -8232, 9708, 2669, 17278, -32512, 7372, -9580, 9808, 4341, 12896, -32512, 1120, -10716, 8660, 6522, 10297, -32512, -5504, -12292, 6436, 7003, 8462, -32512, -12284, -13832, 5044, 5333, 9301, -32512, -19716, -15388, 4040, 2785, 10331, -31279, -26336, -15840, 3796, 1666, 9022, -26137, -32540, -16688, 3308, 1540, 5464, -20250, -32512, -16644, 2540, 1707, -1254, -12838, -32512, -15344, 4680, 2045, -9484, -5209, -29340, -12752, 7732, 1909, -14621, 209
-3424, -11336, 18244, 13950, 15828, 32767, -1920, -10824, 18016, 13851, 16270, 32767, 8032, -7464, 15484, 13130, 18844, 32767, 14460, -4800, 12228, 11930, 19500, 32767, 19088, -2568, 11072, 11004, 18745, 32767, 22864, -836, 9840, 10645, 19992, 28692, 24452, 368, 6904, 9535, 22180, 24528, 24592, 1220, 3624, 6999, 23216, 20883, 23856, 2032, 1736, 4003, 22297, 17470, 22848, 3180, 424, 1371, 20388, 14100, 21080, 4116, 368, -493, 18026, 10524, 18876, 4036, 940, -2088, 15804, 6981, 16240, 4052, 2116, -3295, 13414, 4641, 12768, 4112, 4120, -3874, 11196, 3171, 10284, 3788, 5440, -4128, 8854, 1593, 7880, 3436, 7552, -4384, 7219, 125, 5368, 2568, 9884, -5110, 6496, -839
20976, -888, 10628, -7550, -2786, -32512, 19872, -1476, 10492, -8017, -2167, -32512, 16404, -2912, 9388, -10088, 387, -32512, 10764, -3860, 9220, -10578, -475, -32512, 4332, -5596, 11216, -8785, -5583, -32512, -1276, -8428, 13260, -4808, -12068, -32512, -8360, -10496, 12784, -357, -20940, -32512, -15324, -11260, 12908, 2849, -31894, -32512, -18616, -10100, 17004, 2840, -32512, -28671, -22896, -11076, 22572, -923, -30485, -23578, -28048, -12592, 27336, -4182, -19234, -14592, -29976, -13112, 28860, -3773, -10247, -3295, -25032, -9920, 24476, -1866, -5372, 7633, -15404, -4332, 20232, -53, -5555, 12860, -5284, 1360, 16268, 822, -9478, 12465, 688, 3992, 15124, 2878, -15744, 8972, 4388, 4076, 14856, 5625, -20451, 5537
-22092, -10784, 14536, -115, 4044, 13808, -22308, -11004, 14608, 91, 3215, 15410, -20476, -11808, 16460, 2434, -650, 24320, -15628, -11612, 16748, 4310, -183, 31063, -11116, -11872, 15744, 4587, 3863, 32767, -7400, -12316, 13396, 3375, 8009, 32767, -2796, -12352, 10428, 964, 11205, 32767, 2992, -11388, 9284, -1123, 12559, 32767, 10224, -9588, 9160, -1975, 12024, 32767, 19468, -7292, 8184, -1771, 10309, 32767, 29652, -2556, 8548, -1623, 6918, 32767, 32767, 3408, 8132, -2120, 3273, 30528, 32767, 7016, 9332, -2991, 593, 18547, 32767, 7088, 11568, -3494, 473, 8131, 30284, 4652, 12808, -3468, 2263, 2499, 24264, 3536, 12836, -3086, 4524, -177, 19916, 2136, 11556, -3271, 6072, -1929
12548, -3176, 8476, 4025, 3796, -30771, 11964, -3384, 8172, 4201, 3440, -31091, 7308, -4852, 6488, 3559, 3070, -32512, 1812, -6424, 6112, 356, 3582, -32512, -4212, -8348, 8036, -2863, 3924, -32512, -10496, -10140, 10700, -3851, 2970, -31228, -17212, -11748, 13808, -2613, 1537, -28447, -24328, -12940, 14752, -213, -103, -24594, -29840, -13640, 13880, 1587, -2519, -18784, -31492, -12868, 13072, 2189, -6259, -11443, -29352, -10340, 13604, 2249, -10810, -4476, -23508, -7752, 15456, 2266, -13410, 534, -17396, -4588, 16608, 2404, -13616, 3062, -11540, -1948, 17592, 2731, -12959, 3603, -7564, -616, 17904, 3607, -11251, 3078, -4940, -372, 16920, 4538, -8091, 2863, -2260, -20, 15216, 4800, -4672, 2767
